epoch,train_loss,val_loss,train_acc,val_acc
1,0.6019181061029434,0.24610017824172975,82.105,89.88000000000001
2,0.22310979270935058,0.21080605297088623,91.555,92.08000000000001
3,0.17045832439661027,0.23243520036935805,93.76,91.56
4,0.13764957665801048,0.24909443500190973,94.89000000000001,91.36000000000001
5,0.11503239165246487,0.1778710816435516,96.01,93.68
6,0.09946532214581967,0.1701498024314642,96.46000000000001,93.56000000000002
7,0.09389780105203391,0.18925434910058975,96.64500000000001,93.92
8,0.08201551032587887,0.1665271938227117,97.22000000000001,94.48
9,0.07001093554794788,0.2612730219060555,97.44,93.44
10,0.062131203042715785,0.24019529723199085,97.89,93.16000000000001
11,0.05647888172902167,0.23513117632977665,98.01500000000001,93.64
12,0.056042711314558985,0.22073741963487117,98.025,93.88000000000001
13,0.027404188417736442,0.26372815557717966,99.04,94.28
14,0.0158697920688428,0.1841646381017752,99.47,94.72
15,0.011539655465143732,0.23474119181610587,99.64,94.44
