epoch,train_loss,val_loss,train_acc,val_acc
1,0.19704565590284764,0.35748488567331804,93.39500000000001,92.44
2,0.11944446255788208,0.23154521364942193,95.95,90.96000000000001
3,0.09066105042546987,0.1312322872115532,96.78,95.60000000000001
4,0.0695769498873502,0.03779422096181661,97.44500000000001,98.96000000000001
5,0.05842268650634214,0.10620005662135082,97.995,95.48
6,0.056611331674316895,0.14805884621231816,98.00000000000001,95.92
7,0.04654849057449028,0.029732707651139934,98.415,98.92
8,0.049520518377609554,0.013377514446369605,98.36,99.6
9,0.03563111283080652,0.03007227608272806,98.75500000000001,98.60000000000001
10,0.03212232367824763,0.0135405993047214,98.91000000000001,99.52000000000001
11,0.03582800749766175,0.022467024572752417,98.83500000000001,99.00000000000001
12,0.033102827691682615,0.02789704946260026,98.83000000000001,99.08
13,0.010352758131170413,0.008880076657468454,99.69,99.68
14,0.011210564013628755,0.0027779944697686005,99.6,99.88
15,0.007938776839233469,0.03836960729568236,99.745,98.68
16,0.013343055585818366,0.00869724952494671,99.58,99.72000000000001
17,0.008334952080255607,0.009324217265902553,99.785,99.76
18,0.00969111734033213,0.0075204807731654,99.675,99.68
19,0.005132715424356866,0.0025158089301570725,99.83000000000001,99.92000000000002
20,0.004234550310586929,0.002963178653205614,99.885,99.8
