epoch,train_loss,val_loss,train_acc,val_acc
1,4.15164868683815,0.34705687619447706,78.875,87.0
2,0.4279288295030594,0.3501130927597638,85.805,85.52000000000001
3,0.35539443004131316,0.19311575720086693,87.64500000000001,93.68
4,0.316470895254612,0.2729909071668983,88.815,89.60000000000001
5,0.278631182050705,0.23638174212082522,90.515,91.76
6,0.23924653503894805,0.20560617224127054,91.99000000000001,91.88000000000001
7,0.1965529607832432,0.1672785915147977,93.325,94.84
8,0.18021466114521026,0.1382557624823181,93.96,95.44
9,0.16173150814771653,0.06946004760591314,94.45,97.4
10,0.14729545472562314,0.08216249753199517,95.055,97.16
11,0.12507789444029332,0.13963362183554565,95.69000000000001,95.24000000000001
12,0.11439054649174213,0.06659379188468446,96.18,97.60000000000001
13,0.10896835445426405,0.09321187367556849,96.47,95.68
14,0.10129028410241007,0.11614157887443653,96.48500000000001,96.52000000000001
15,0.08320947190374137,0.05833677327138721,97.25,97.92
16,0.08003419408276677,0.03138170925711456,97.39500000000001,99.04
17,0.08067748434245586,0.08549900119980502,97.50500000000001,97.24000000000001
18,0.06741407357156276,0.08149731070990406,97.825,97.68
19,0.057911784348264335,0.061717552049404184,98.08,97.72000000000001
20,0.06177994117271155,0.21859617024773134,97.935,93.92
