epoch,train_loss,val_loss,train_acc,val_acc
1,0.5558087686300278,0.2632759984023869,82.02000000000001,89.0
2,0.2754256404578686,0.12819787947991862,89.35000000000001,95.04
3,0.22829797247350217,0.12575515846796334,91.51,95.48
4,0.19176385230869056,0.09281968109852169,92.72,96.72
5,0.1735181163199246,0.27799200381104594,93.87500000000001,91.12
6,0.1635280466735363,0.10992510998228973,94.03,95.68
7,0.14857873311936856,0.09977003147139453,94.68,96.24000000000001
8,0.14598223660402,0.11693752328179835,94.85,96.32000000000001
9,0.09221464802715927,0.05080120252750489,96.65,98.16
10,0.084139787355531,0.04212379376855552,96.97,98.44000000000001
11,0.07875143140121363,0.048338458367939076,97.305,98.24000000000001
12,0.07719502114770002,0.03944741629770868,97.42500000000001,98.56
13,0.0694188798175659,0.06455726121748302,97.54,97.80000000000001
14,0.06717462587193586,0.07601154805913678,97.85000000000001,97.64
15,0.06149601782944519,0.034093929309391875,97.955,98.72000000000001
16,0.05807313853513915,0.1054755217920821,98.11000000000001,96.72
17,0.059155356991413284,0.03180652917138805,97.94,98.80000000000001
18,0.05340766299709212,0.03113539501252984,98.325,99.00000000000001
19,0.04889966591930715,0.03484543846227816,98.51,99.00000000000001
20,0.05154490797966719,0.08153923432956979,98.375,97.80000000000001
