epoch,train_loss,val_loss,train_acc,val_acc
1,0.5757386814832688,0.48132817069292066,77.37,82.88000000000001
2,0.33984460266828537,0.25578962588459253,87.65,90.2
3,0.2747292770802975,0.2457766885638237,89.69500000000001,90.44000000000001
4,0.23242714470624923,0.23315288936048745,91.45,91.48
5,0.20541971019804478,0.19137058002892882,92.27000000000001,92.80000000000001
6,0.18961725884079933,0.16288892437405883,93.095,93.68
7,0.17557514113634826,0.1716604330985807,93.39,93.52000000000001
8,0.16419334220588208,0.11253651266656817,93.745,95.56
9,0.15372762516438962,0.15068500400613993,94.19500000000001,94.2
10,0.13748053920641543,0.11666387313338927,94.845,95.80000000000001
11,0.13235129767954348,0.10108576992116869,95.105,96.24000000000001
12,0.11818697152212262,0.09155682667847723,95.53,96.36
13,0.12624760690480472,0.08765597887877374,95.33500000000001,96.60000000000001
14,0.11647575184069574,0.08524807362565771,95.5,96.32000000000001
15,0.10899421677663923,0.08132480806075036,95.85000000000001,96.84
16,0.10003357990011573,0.11313279119990766,96.15,94.96
17,0.09414915027655661,0.06618565117605031,96.54,97.24000000000001
18,0.0912631173480302,0.08968262507664039,96.52000000000001,96.76
19,0.08683912658542395,0.11332400521624804,96.715,95.68
20,0.08872996311946772,0.11316789752282203,96.80000000000001,94.52000000000001
