epoch,train_loss,val_loss,train_acc,val_acc
1,0.12604248519567773,0.03503999717179686,95.65,98.64
2,0.0927893550938461,0.11709773766202852,97.02000000000001,96.00000000000001
3,0.07305099907414987,0.0404675397795625,97.56,98.68
4,0.056933899616776036,0.04948954374920577,98.10000000000001,98.2
5,0.054575544723821805,0.09497843422978185,98.265,96.48
6,0.016914658458973282,0.016050130163505674,99.45,99.56
7,0.01678036993915448,0.03405721949762665,99.48,99.00000000000001
8,0.02329443218050292,0.0340594047871884,99.34,98.80000000000001
9,0.02242263527998002,0.014843193860375322,99.375,99.68
10,0.02090618618526496,0.015247237211698666,99.395,99.64
11,0.02395962366075255,0.05949584914031439,99.25,98.44000000000001
12,0.02427765802651411,0.02362467834467534,99.27,99.44000000000001
13,0.026154557596973608,0.01564732573274523,99.285,99.44000000000001
14,0.003450055176357273,0.01190465926064644,99.895,99.68
15,0.005489079684740864,0.026126701073721052,99.83000000000001,99.4
16,0.008125598888751119,0.012682896816800349,99.765,99.68
17,0.006283206606924068,0.01877356520469766,99.80499999999999,99.52000000000001
18,0.00650986669161357,0.02875105468984693,99.83500000000001,99.28
19,0.001246789660793729,0.017200109199876898,99.97,99.64
20,0.00163691319397185,0.017416791382594967,99.935,99.52000000000001
