epoch,train_loss,val_loss,train_acc,val_acc
1,0.11106441049082787,0.046823867941943174,96.31500000000001,98.64
2,0.05369610065115558,0.018749908708051953,98.50000000000001,99.44000000000001
3,0.03636768486603105,0.008379848822824028,99.055,99.72000000000001
4,0.04247786789019374,0.0040338129276715025,98.95,99.84
5,0.04395685630247754,0.012059075610762736,98.805,99.64
6,0.03863927718719497,0.010163363347196036,98.99,99.72000000000001
7,0.045418960404851536,0.02042417693961756,98.915,99.52000000000001
8,0.03307317426385998,0.013342237048769676,99.155,99.68
9,0.010688457754746196,0.0026411689959213247,99.73,99.84
10,0.017635579106239675,0.010993091391461976,99.575,99.64
11,0.02312758479815566,0.0020752040939732977,99.46000000000001,99.92000000000002
12,0.020738824937275784,0.023580643011257233,99.495,99.4
13,0.025120119933549723,0.04417603220816927,99.43,99.2
14,0.021601130233168078,0.006470952981144501,99.435,99.72000000000001
15,0.01810545276370394,0.027979804939932497,99.545,99.2
16,0.007353867761502988,0.0028764601165195587,99.81000000000002,99.92000000000002
17,0.006764084400337379,0.000786642995285365,99.84,99.96000000000001
18,0.009091751125071096,0.008000235818877127,99.79,99.8
19,0.009257276525328052,0.003611175770814225,99.80499999999999,99.88
20,0.013441970166606735,0.017170874290216853,99.68,99.68
