epoch,train_loss,val_loss,train_acc,val_acc
1,0.5148273036625107,0.23405289436630577,82.61042578591325,90.85520745131245
2,0.26196136233984973,0.23896204373397098,89.75328292877039,90.72819644369179
3,0.21598528137884906,0.2056314937829412,91.94190210903302,91.65961049957663
4,0.1827994405684442,0.20074169112706144,93.50378034222045,91.44792548687552
5,0.1614763935404532,0.17688068744903757,94.42399522483088,92.92972057578322
6,0.13777821385692635,0.29933386546727525,95.06565857540788,92.20999153259949
7,0.1280849112551311,0.21784950341973222,95.64265817747712,92.97205757832346
8,0.10302915093031298,0.37523962285510204,96.42857142857143,92.33700254022014
9,0.1108363249003398,0.22096154513608252,96.48328690807799,93.18374259102455
10,0.06805214792658612,0.27055373534353866,97.75169120573021,93.56477561388652
11,0.06248562194403651,0.29211433570203815,97.92578591325109,93.3107535986452
12,0.05222379339233059,0.3113268058923497,98.34858734580183,94.19983065198984
