epoch,train_loss,val_loss,train_acc,val_acc
1,0.12796901625892762,0.27054117502787395,95.6874253879825,92.84504657070279
2,0.0749387734372171,0.18633510315318408,97.61241543971349,95.51227773073666
3,0.07415925651568944,0.126686526812766,97.68205332272184,96.40135478408128
4,0.06377807994319591,0.15385430887937673,97.87604456824512,95.63928873835732
5,0.0619377837476713,0.1946520086927505,98.05511341026661,95.25825571549534
6,0.04940074486747848,0.09575424578297524,98.32869080779945,97.24809483488569
7,0.04579464151738192,0.16173649475562593,98.52268205332273,96.57070279424217
8,0.05210115426408127,0.268671771749392,98.29387186629526,94.58086367485181
9,0.04580733771533663,0.14286306109664818,98.59231993633108,96.90939881456393
10,0.04432652476923729,0.24198161321896708,98.7017508953442,95.30059271803556
11,0.007017355335182764,0.29678594048540513,99.77616394747314,95.34292972057578
12,0.011860215022333169,0.14964197964494644,99.6965777954636,96.14733276883996
13,0.016280090990771403,0.21411658318414234,99.47771587743732,96.31668077900085
