epoch,train_loss,val_loss,train_acc,val_acc
1,0.5200783404318925,0.2392057540726349,82.2124950258655,89.33107535986451
2,0.28894375657186155,0.19932251292193912,88.96736967767607,91.61727349703641
3,0.2458345470849945,0.355259336046082,90.78790290489455,86.11346316680779
4,0.21714206763023974,0.2675808951673457,92.26024671707123,90.09314140558848
5,0.20306276200747603,0.19622280825472418,92.4641862315957,93.0567315834039
6,0.18262982397227945,0.2721619544570294,93.4440907282133,89.79678238780694
7,0.17734253489539484,0.21711750657753548,93.52865101472344,91.8289585097375
8,0.1627989321653581,0.2244208571859884,94.23995224830878,94.24216765453005
9,0.16183528996273205,0.2361220821070309,94.29964186231595,92.88738357324301
10,0.1128797878559799,0.2225342592252868,96.08535614803024,94.45385266723115
11,0.09891209545090551,0.3613128838554982,96.45344210107442,87.93395427603726
12,0.10192737486613695,0.2334303026341828,96.39375248706725,92.84504657070279
