epoch,train_loss,val_loss,train_acc,val_acc
1,0.06601359240018266,0.15258888321281347,97.70692399522483,95.93564775613886
2,0.015602916061975117,0.19247657796457213,99.48269001193792,96.99407281964436
3,0.007930189256332442,0.15917484252294992,99.73139673696777,97.41744284504657
4,0.007692417185573089,0.1851555828041449,99.74134500596897,96.69771380186283
5,0.00851143518397224,0.11254110765232009,99.75626740947075,97.96782387806942
6,0.003912517718288729,0.2086027515954,99.88559490648628,97.12108382726502
7,0.006619031322253212,0.1698451182428317,99.8259052924791,96.90939881456393
8,0.0053050003033415375,0.1656388755406532,99.8259052924791,97.58679085520745
9,0.004177972085735829,0.2086919542026893,99.88559490648628,97.33276883996612
10,0.0005942159674060981,0.10399599946193447,99.97512932749702,97.84081287044877
11,0.0004923883087216689,0.11418566619026217,99.97512932749702,98.26418289585096
12,0.0002768585239434618,0.11871250853941266,99.99005173099881,98.13717188823031
13,0.0002606213507911334,0.12980797411823833,99.99005173099881,98.43353090601184
14,0.002422577765536313,0.2151525635796125,99.93036211699165,96.95173581710415
15,0.0012160772973940559,0.16613311457569852,99.9850775964982,97.41744284504657
16,0.00017709849330464715,0.16942195477497526,99.9950258654994,97.7138018628281
17,3.7833550100523125e-05,0.23909285390940718,100.0,97.12108382726502
