epoch,train_loss,val_loss,train_acc,val_acc
1,0.42970202285077436,0.28142556566413834,83.3515718265022,91.44792548687552
2,0.2234083510256364,0.23519932668558327,91.6534023079984,91.87129551227773
3,0.17457985746352928,0.2000532399399315,93.61321130123358,93.01439458086367
4,0.14615665405834524,0.17448244563396154,94.59311579785117,92.92972057578322
5,0.12494329036236805,0.1643093475357493,95.39395145244727,94.03048264182895
6,0.11089573421363948,0.2197059173559633,95.93613211301233,93.268416596105
7,0.09944807013094283,0.1466500969346578,96.43354556307202,94.58086367485181
8,0.08811289666815733,0.15654410171747574,96.82152805411857,94.7502116850127
9,0.08528896601667937,0.19623383264069955,96.91603660962991,95.04657070279424
10,0.07780032012646093,0.18443030307257105,97.21448467966573,94.66553767993226
11,0.0726856043005649,0.1467869667822115,97.38360525268604,94.62320067739203
12,0.05765817231306687,0.19160624306607962,98.11480302427378,95.46994072819645
13,0.05514402534287175,0.2094040748288273,98.13469956227617,93.52243861134632
14,0.0533875927163775,0.18996263102474123,98.21925984878631,94.83488569009315
