epoch,train_loss,val_loss,train_acc,val_acc
1,0.10569096713902139,0.23973186672470004,96.40867489056903,94.62320067739203
2,0.04319552714999252,0.15893032937310636,98.61221647433347,96.48602878916172
3,0.02922403646021513,0.1634324071628949,99.20413847990449,96.2320067739204
4,0.02315005473332051,0.1791529363949275,99.3682849184242,96.69771380186283
5,0.02933634106017386,0.3168548920647259,99.15937126939912,94.19983065198984
6,0.02040414105085418,0.11280911420106998,99.46279347393553,97.37510584250634
7,0.018327216883446965,0.15777280105929564,99.48269001193792,97.54445385266722
8,0.0258830962298589,0.14704711741309603,99.29367290091524,95.72396274343777
9,0.01721248514757215,0.22451630254676996,99.5125348189415,95.17358171041491
10,0.020693545767936704,0.13736012261818759,99.46776760843613,96.90939881456393
11,0.0016570852700004022,0.17364503057740738,99.95523278949463,97.79847586790855
12,0.00233877664737763,0.19198580707714144,99.92538798249105,97.24809483488569
13,0.0029190189638611513,0.22863948575054685,99.94031038599283,96.69771380186283
