epoch,train_loss,val_loss,train_acc,val_acc
1,0.13621763367056847,0.05104145848420449,95.23,98.08
2,0.07374982368201018,0.0404250293970108,97.375,98.52000000000001
3,0.055213738625496625,0.11575933537073434,98.085,95.88000000000001
4,0.04855807535294444,0.06827894456088543,98.245,97.04
5,0.045770884658396245,0.14409635626896053,98.475,94.60000000000001
6,0.03696048096297309,0.02845388543382287,98.695,99.08
7,0.028846303052082658,0.21336835509834418,98.94000000000001,94.04
8,0.03456094780517742,0.1696401167758275,98.795,94.72
9,0.025749312564358116,0.015890183897479437,99.135,99.4
10,0.027163553955405952,0.009754177253080707,99.075,99.64
11,0.02758065352998674,0.0541751591835171,99.08500000000001,97.76
12,0.02513029535766691,0.014430159028992057,99.135,99.4
13,0.0178321012374945,0.08844665773895104,99.36,96.60000000000001
14,0.023487670350726693,0.04625193221224472,99.25,98.36
15,0.008118419462675228,0.012634585550334304,99.76,99.56
16,0.006710558416927233,0.011294947434403003,99.75,99.56
17,0.006079294990631752,0.0016087922209628233,99.79,99.96000000000001
18,0.00534514435804449,0.022406188434525392,99.85000000000001,99.28
19,0.006381551668816246,0.002566235990473069,99.80499999999999,99.96000000000001
20,0.00771549821740482,0.00928680060924853,99.73500000000001,99.72000000000001
