epoch,train_loss,val_loss,train_acc,val_acc
1,0.4214037414202878,0.3997646205310192,83.20732192598487,83.10753598645215
2,0.19266377050700864,0.4255315175029204,92.51392757660167,85.77476714648603
3,0.11385890349028265,0.3623209079328505,95.91126144050935,86.62150719729043
4,0.07281842349201642,0.49389542018794386,97.63231197771589,84.80101608806096
5,0.04395395428200956,0.4879388152941065,98.55252686032631,87.46824724809483
6,0.028691211024538674,0.5665783144968934,99.05491444488659,85.60541913632514
7,0.01790097667072908,0.524028296372242,99.40807799442896,88.31498729889924
8,0.009317692776213015,0.5341905997065547,99.68662952646238,87.89161727349703
9,0.003287700982132603,0.5855996363974614,99.93533625149223,88.14563928873835
10,0.002415101460453893,0.552267073848358,99.94031038599283,88.69602032176121
